"Player","Games","Win %","Takedowns","Kills","Assists","Deaths","Kill Participation","KDA","Highest Kill Streak","Vengeances","Time Dead","Time Dead %","Deaths While Outnumbered","Escapes","Team Fight Escapes","Hero Damage","DPM","Physical Damage","Ability Damage","Damage per Death","Team Fight Hero Damage","Siege Damage","Structure Damage","Minion Damage","Summon Damage","Creep Damage","Healing","HPM","Healing per Death","Team Fight Healing","Self Healing","Allied Shields","Clutch Heals","Damage Taken","Damage Soaked","Damage Taken per Death","Team Fight Damage Taken","CC Time","Root Time","Silence Time","Stun Time","Time on Fire","XP Contribution","XPM","Merc Camp Captures","Watch Tower Captures","Aces","Wipes","% of Game with Level Adv.","% of Game with Hero Adv.","Passive XP/Second","Passive XP Gained","Altar Damage Done","Damage to Immortal","Dragon Knights Captured","Shrines Captured","Dubloons Held At End","Dubloons Turned In","Skulls Collected","Shrine Minion Damage","Plant Damage","Seeds Collected","Garden Seeds Collected","Gems Turned In","Nuke Damage","Curse Damage","Time On Temple","Damage Done to Zerg","Cage Unlocks Interrupted","Hero Pool","Damage Ratio","% of Team Damage","% of Team Damage Taken","% of Team Damage Healed","% of Time Slow CC","% of Time Non-Slow CC","Votes","Awards","Award %","MVP","MVP %","Bsteps","Bstep TD","Bstep Deaths","Taunts","Taunt TD","Taunt Deaths","Sprays","Spray TD","Spray Deaths","Dances","Dance TD","Dance Deaths"
"Lavekall","16","37.5%","8.44","2.00","6.44","2.44","90%","5.77","5.00","0.44","1:33","8%","1.31","0.38","0.19","59982.75","3072.13","40494.06","153259.13","38390.35","29001.50","100696.56","15886.44","70284.44","5335.63","33965.50","5877.13","773.06","8884.05","1524.69","8062.19","858.44","0.19","37504.00","30213.81","24534.10","23177.00","1:02","00:00","00:03","00:04","00:00","12058.44","622.86","4.13","0.00","0.13","0.44","16%","13%","24.48","5939.35","0.63","1901.38","0.00","0.00","0","0","0","3347.56","0.00","0.00","0.00","3.88","0","0","00:00","0","0.13","10","1.79","31%","17%","3%","5%","1%","0","0","0%","0","0%","0","0","0","0","0","0","19","0","0","0","0","0"
"Przybli","16","37.5%","8.75","2.75","6.00","2.69","92%","4.16","5.00","0.63","1:49","9%","1.31","0.75","0.06","56838.38","2906.01","69388.00","99969.88","27392.26","27670.06","83184.56","12749.50","58981.25","2392.06","25656.38","0.00","257.41","2344.83","4.69","4708.13","0.00","0.00","35466.25","27437.00","16807.73","20206.56","1:55","00:00","00:00","00:00","00:00","11968.19","586.97","2.13","0.00","0.13","0.44","16%","13%","24.48","5939.35","1.50","2773.81","0.00","0.13","0","0","0","4251.38","0.00","0.00","0.00","4.81","0","0","00:00","0","0.31","9","1.71","30%","16%","0%","10%","0%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","0","0","0"
"Aletis","16","37.5%","8.44","2.94","5.50","3.25","85%","3.90","4.88","0.50","2:03","11%","1.81","1.06","0.25","33973.06","1692.67","56225.75","117201.19","15876.91","22347.88","113563.88","5630.00","96603.56","3275.94","25688.00","0.00","794.37","7832.65","18.75","15946.06","0.00","0.00","60670.81","49915.81","28177.79","39568.38","1:18","00:00","00:03","00:14","00:00","18472.06","952.59","2.69","0.00","0.13","0.44","16%","13%","24.48","5939.35","2.38","969.88","0.00","0.19","0","0","0","3962.13","0.00","0.00","0.00","2.63","0","0","00:00","0","0.00","8","0.55","17%","27%","0%","7%","2%","0","0","0%","0","0%","1","1","0","0","0","0","1","1","0","0","0","0"
"OstryKieł","16","37.5%","8.56","1.25","7.31","2.56","91%","3.44","4.63","0.25","1:36","8%","1.25","0.69","0.06","24884.94","1258.58","18214.31","48810.94","10531.92","17813.06","35076.31","4179.38","25679.63","2018.94","7877.06","9269.94","1412.06","11678.76","1458.50","15600.13","3268.50","0.06","65255.31","54946.56","28793.44","48157.25","3:01","00:00","00:00","00:21","00:00","8090.44","399.83","2.56","0.00","0.13","0.44","16%","13%","24.48","5939.35","0.31","545.31","0.00","0.44","0","0","0","1846.38","0.00","0.00","0.00","4.38","0","0","00:00","0","0.13","5","0.37","12%","29%","6%","16%","2%","0","0","0%","0","0%","0","0","0","0","0","0","2","0","1","0","0","0"
"Hameriin","16","37.5%","8.25","0.69","7.56","2.56","84%","5.01","5.56","0.06","1:35","8%","1.06","0.31","0.00","17538.88","886.43","25929.31","40539.94","9455.92","8940.94","34475.69","2788.75","23822.44","3168.38","14743.25","60286.50","3540.81","39185.72","10718.44","5620.44","2754.56","1.56","28543.50","21131.50","13650.10","17603.38","8:54","00:13","00:04","00:17","00:00","6642.63","333.33","3.81","0.00","0.13","0.44","16%","13%","24.48","5939.35","1.44","823.81","0.00","0.00","0","0","0","3273.56","0.00","0.00","0.00","0.00","0","0","00:00","0","0.00","8","0.80","9%","12%","28%","62%","3%","0","0","0%","0","0%","0","0","0","0","0","0","4","0","0","0","0","0"
"alDante","15","100%","13.27","1.47","11.80","1.53","94%","9.20","9.80","0.33","00:57","5%","0.93","0.60","0.33","12413.00","689.87","10459.80","24903.33","7658.79","6485.47","15713.93","4028.80","9588.93","1513.80","7195.87","67589.67","3947.78","48930.92","11235.47","2938.53","856.07","1.20","19194.93","14662.93","10674.92","12636.93","10:36","00:09","00:00","00:16","00:00","6596.40","363.77","6.40","0.00","0.20","0.00","45%","22%","26.83","8024.78","1.87","488.60","0","0","0","0","0","721.87","0.00","0.00","0.00","0.93","0","0","00:00","0","0","7","0.84","6%","8%","32%","38%","3%","0","0","0%","0","0%","0","0","0","0","0","0","2","0","0","0","0","0"
"Barlor","15","100%","12.13","4.00","8.13","2.13","86%","7.30","8.73","0.80","1:25","7%","0.93","1.27","0.13","57167.00","3144.27","55650.07","144559.13","30263.48","28797.67","106303.93","23596.47","70466.07","6365.07","39954.40","2448.93","989.94","6347.31","292.27","12982.13","2420.80","0.00","33770.60","25826.93","15256.83","22015.20","2:39","00:01","00:04","00:00","00:00","13996.53","778.93","5.73","0.00","0.20","0.00","45%","22%","26.83","8024.78","3.67","11911.67","0","0","0","0","0","2573.13","0.00","0.00","0.00","4.60","0","0","00:00","0","0","6","2.18","28%","15%","2%","16%","1%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Mackoztl","15","100%","13.13","1.80","11.33","2.40","93%","8.10","8.47","0.47","1:23","7%","0.93","1.27","0.20","33367.67","1827.84","21267.40","65767.93","19108.10","24340.40","47415.40","10941.13","31343.47","2824.07","8603.27","7172.13","1345.19","12912.58","2586.07","17462.00","67.60","0.80","68683.73","59217.07","40692.19","52419.13","3:58","00:00","00:00","00:44","00:00","8579.13","470.21","3.47","0.00","0.20","0.00","45%","22%","26.83","8024.78","1.33","551.07","0","0","0","0","0","276.40","0.00","0.00","0.00","4.53","0","0","00:00","0","0","8","0.49","16%","33%","3%","22%","4%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","0","0","0"
"whhitee","15","100%","11.20","2.20","9.00","1.87","78%","7.35","7.00","0.13","1:21","7%","1.00","0.33","0.00","34424.27","1873.14","56398.87","97133.00","20875.00","21627.13","99622.13","16909.53","75684.40","3481.07","21365.80","0.00","1134.71","11837.80","5.00","20428.53","0.00","0.00","58769.07","54689.00","34912.62","33792.00","2:06","00:00","00:04","00:12","00:00","16497.07","915.81","4.00","0.00","0.20","0.00","45%","22%","26.83","8024.78","2.67","1182.20","0","0","0","0","0","992.33","0.00","0.00","0.00","7.33","0","0","00:00","0","0","6","0.60","17%","27%","0%","12%","2%","0","0","0%","0","0%","0","0","0","0","0","0","7","0","0","0","0","0"
"Aether","15","100%","13.53","4.73","8.80","1.20","95%","10.49","10.00","0.40","00:52","5%","0.53","0.33","0.00","65601.07","3532.50","82630.00","100215.27","51550.66","35429.87","82615.53","26090.60","45899.00","5135.20","36243.73","112.80","315.30","4222.78","0.00","5226.00","101.53","0.00","37401.27","33288.40","28579.74","22255.07","1:01","00:00","00:00","00:04","00:00","11375.27","621.69","6.40","0.00","0.20","0.00","45%","22%","26.83","8024.78","3.33","4416.47","0","0","0","0","0","1384.20","0.00","0.00","0.00","5.27","0","0","00:00","0","0","6","1.93","32%","17%","0%","5%","0%","0","0","0%","0","0%","3","0","0","0","0","0","0","0","0","0","0","0"
